sample_id,group_id,fold
v3_100_seg1,v3_100,1
v3_100_seg2,v3_100,1
v3_100_seg3,v3_100,1
v3_101_seg1,v3_101,4
v3_101_seg2,v3_101,4
v3_102_seg1,v3_102,0
v3_102_seg2,v3_102,0
v3_102_seg3,v3_102,0
v3_103_seg1,v3_103,3
v3_103_seg2,v3_103,3
v3_103_seg3,v3_103,3
v3_104_seg1,v3_104,2
v3_104_seg2,v3_104,2
v3_106_seg1,v3_106,0
v3_106_seg2,v3_106,0
v3_106_seg3,v3_106,0
v3_107_seg1,v3_107,2
v3_107_seg2,v3_107,2
v3_107_seg3,v3_107,2
v3_108_seg1,v3_108,1
v3_108_seg2,v3_108,1
v3_108_seg3,v3_108,1
v3_109_seg1,v3_109,2
v3_109_seg2,v3_109,2
v3_109_seg3,v3_109,2
v3_10_seg1,v3_10,3
v3_10_seg2,v3_10,3
v3_10_seg3,v3_10,3
v3_110_seg1,v3_110,0
v3_110_seg2,v3_110,0
v3_110_seg3,v3_110,0
v3_111_seg1,v3_111,0
v3_111_seg2,v3_111,0
v3_111_seg3,v3_111,0
v3_112_seg1,v3_112,2
v3_112_seg2,v3_112,2
v3_112_seg3,v3_112,2
v3_11_seg1,v3_11,3
v3_11_seg2,v3_11,3
v3_11_seg3,v3_11,3
v3_12_seg1,v3_12,3
v3_12_seg2,v3_12,3
v3_12_seg3,v3_12,3
v3_13_seg1,v3_13,0
v3_13_seg2,v3_13,0
v3_14_seg1,v3_14,1
v3_14_seg2,v3_14,1
v3_14_seg3,v3_14,1
v3_15_seg1,v3_15,4
v3_15_seg2,v3_15,4
v3_15_seg3,v3_15,4
v3_16_seg1,v3_16,4
v3_16_seg2,v3_16,4
v3_16_seg3,v3_16,4
v3_17_seg1,v3_17,2
v3_17_seg2,v3_17,2
v3_17_seg3,v3_17,2
v3_18_seg1,v3_18,2
v3_18_seg2,v3_18,2
v3_18_seg3,v3_18,2
v3_19_seg1,v3_19,4
v3_19_seg2,v3_19,4
v3_19_seg3,v3_19,4
v3_1_seg1,v3_1,1
v3_1_seg2,v3_1,1
v3_20_seg1,v3_20,0
v3_20_seg2,v3_20,0
v3_21_seg1,v3_21,3
v3_21_seg2,v3_21,3
v3_21_seg3,v3_21,3
v3_22_seg1,v3_22,3
v3_22_seg2,v3_22,3
v3_23_seg1,v3_23,1
v3_23_seg2,v3_23,1
v3_23_seg3,v3_23,1
v3_24_seg1,v3_24,4
v3_24_seg2,v3_24,4
v3_24_seg3,v3_24,4
v3_25_seg1,v3_25,1
v3_25_seg2,v3_25,1
v3_25_seg3,v3_25,1
v3_27_seg1,v3_27,0
v3_27_seg2,v3_27,0
v3_27_seg3,v3_27,0
v3_28_seg1,v3_28,0
v3_28_seg2,v3_28,0
v3_28_seg3,v3_28,0
v3_29_seg1,v3_29,3
v3_29_seg2,v3_29,3
v3_29_seg3,v3_29,3
v3_2_seg1,v3_2,1
v3_2_seg2,v3_2,1
v3_2_seg3,v3_2,1
v3_30_seg1,v3_30,2
v3_30_seg2,v3_30,2
v3_30_seg3,v3_30,2
v3_31_seg1,v3_31,3
v3_31_seg2,v3_31,3
v3_32_seg1,v3_32,1
v3_32_seg2,v3_32,1
v3_32_seg3,v3_32,1
v3_33_seg1,v3_33,1
v3_33_seg2,v3_33,1
v3_33_seg3,v3_33,1
v3_34_seg1,v3_34,4
v3_34_seg2,v3_34,4
v3_34_seg3,v3_34,4
v3_35_seg1,v3_35,0
v3_35_seg2,v3_35,0
v3_35_seg3,v3_35,0
v3_36_seg1,v3_36,1
v3_36_seg2,v3_36,1
v3_36_seg3,v3_36,1
v3_37_seg1,v3_37,3
v3_37_seg2,v3_37,3
v3_37_seg3,v3_37,3
v3_38_seg1,v3_38,2
v3_38_seg2,v3_38,2
v3_38_seg3,v3_38,2
v3_39_seg1,v3_39,4
v3_39_seg2,v3_39,4
v3_39_seg3,v3_39,4
v3_3_seg1,v3_3,2
v3_40_seg1,v3_40,3
v3_40_seg2,v3_40,3
v3_40_seg3,v3_40,3
v3_41_seg1,v3_41,4
v3_42_seg1,v3_42,3
v3_42_seg2,v3_42,3
v3_42_seg3,v3_42,3
v3_43_seg1,v3_43,2
v3_43_seg2,v3_43,2
v3_43_seg3,v3_43,2
v3_44_seg1,v3_44,2
v3_44_seg2,v3_44,2
v3_44_seg3,v3_44,2
v3_45_seg1,v3_45,3
v3_45_seg2,v3_45,3
v3_46_seg1,v3_46,0
v3_46_seg2,v3_46,0
v3_46_seg3,v3_46,0
v3_47_seg1,v3_47,1
v3_47_seg2,v3_47,1
v3_47_seg3,v3_47,1
v3_48_seg1,v3_48,4
v3_48_seg2,v3_48,4
v3_49_seg1,v3_49,0
v3_49_seg2,v3_49,0
v3_49_seg3,v3_49,0
v3_4_seg1,v3_4,2
v3_4_seg2,v3_4,2
v3_4_seg3,v3_4,2
v3_50_seg1,v3_50,3
v3_50_seg2,v3_50,3
v3_50_seg3,v3_50,3
v3_51_seg1,v3_51,4
v3_51_seg2,v3_51,4
v3_51_seg3,v3_51,4
v3_52_seg1,v3_52,3
v3_52_seg2,v3_52,3
v3_52_seg3,v3_52,3
v3_53_seg1,v3_53,1
v3_53_seg2,v3_53,1
v3_54_seg1,v3_54,0
v3_54_seg2,v3_54,0
v3_54_seg3,v3_54,0
v3_55_seg1,v3_55,3
v3_55_seg2,v3_55,3
v3_55_seg3,v3_55,3
v3_56_seg1,v3_56,3
v3_56_seg2,v3_56,3
v3_56_seg3,v3_56,3
v3_57_seg1,v3_57,1
v3_57_seg2,v3_57,1
v3_57_seg3,v3_57,1
v3_58_seg1,v3_58,1
v3_58_seg2,v3_58,1
v3_58_seg3,v3_58,1
v3_59_seg1,v3_59,1
v3_59_seg2,v3_59,1
v3_59_seg3,v3_59,1
v3_5_seg1,v3_5,4
v3_5_seg2,v3_5,4
v3_5_seg3,v3_5,4
v3_60_seg1,v3_60,4
v3_60_seg2,v3_60,4
v3_60_seg3,v3_60,4
v3_61_seg1,v3_61,0
v3_61_seg2,v3_61,0
v3_61_seg3,v3_61,0
v3_62_seg1,v3_62,3
v3_62_seg2,v3_62,3
v3_62_seg3,v3_62,3
v3_63_seg1,v3_63,1
v3_63_seg2,v3_63,1
v3_63_seg3,v3_63,1
v3_64_seg1,v3_64,4
v3_64_seg2,v3_64,4
v3_64_seg3,v3_64,4
v3_65_seg1,v3_65,4
v3_65_seg2,v3_65,4
v3_65_seg3,v3_65,4
v3_66_seg1,v3_66,3
v3_66_seg2,v3_66,3
v3_66_seg3,v3_66,3
v3_67_seg1,v3_67,2
v3_67_seg2,v3_67,2
v3_67_seg3,v3_67,2
v3_68_seg1,v3_68,3
v3_68_seg2,v3_68,3
v3_68_seg3,v3_68,3
v3_69_seg1,v3_69,1
v3_69_seg2,v3_69,1
v3_69_seg3,v3_69,1
v3_6_seg1,v3_6,1
v3_6_seg2,v3_6,1
v3_6_seg3,v3_6,1
v3_70_seg1,v3_70,0
v3_70_seg2,v3_70,0
v3_70_seg3,v3_70,0
v3_71_seg1,v3_71,3
v3_71_seg2,v3_71,3
v3_71_seg3,v3_71,3
v3_72_seg1,v3_72,0
v3_72_seg2,v3_72,0
v3_72_seg3,v3_72,0
v3_73_seg1,v3_73,3
v3_73_seg2,v3_73,3
v3_73_seg3,v3_73,3
v3_74_seg1,v3_74,3
v3_74_seg2,v3_74,3
v3_74_seg3,v3_74,3
v3_75_seg1,v3_75,2
v3_75_seg2,v3_75,2
v3_75_seg3,v3_75,2
v3_76_seg1,v3_76,3
v3_76_seg2,v3_76,3
v3_77_seg1,v3_77,2
v3_77_seg2,v3_77,2
v3_77_seg3,v3_77,2
v3_78_seg1,v3_78,0
v3_78_seg2,v3_78,0
v3_78_seg3,v3_78,0
v3_7_seg1,v3_7,1
v3_7_seg2,v3_7,1
v3_7_seg3,v3_7,1
v3_80_seg1,v3_80,2
v3_80_seg2,v3_80,2
v3_80_seg3,v3_80,2
v3_81_seg1,v3_81,0
v3_81_seg2,v3_81,0
v3_81_seg3,v3_81,0
v3_82_seg1,v3_82,2
v3_82_seg2,v3_82,2
v3_82_seg3,v3_82,2
v3_83_seg1,v3_83,3
v3_83_seg2,v3_83,3
v3_83_seg3,v3_83,3
v3_84_seg1,v3_84,2
v3_84_seg2,v3_84,2
v3_85_seg1,v3_85,0
v3_85_seg2,v3_85,0
v3_85_seg3,v3_85,0
v3_86_seg1,v3_86,0
v3_86_seg2,v3_86,0
v3_86_seg3,v3_86,0
v3_87_seg1,v3_87,0
v3_87_seg2,v3_87,0
v3_88_seg1,v3_88,0
v3_88_seg2,v3_88,0
v3_88_seg3,v3_88,0
v3_89_seg1,v3_89,3
v3_89_seg2,v3_89,3
v3_89_seg3,v3_89,3
v3_8_seg1,v3_8,0
v3_8_seg2,v3_8,0
v3_90_seg1,v3_90,2
v3_90_seg2,v3_90,2
v3_91_seg1,v3_91,4
v3_91_seg2,v3_91,4
v3_91_seg3,v3_91,4
v3_92_seg1,v3_92,2
v3_92_seg2,v3_92,2
v3_92_seg3,v3_92,2
v3_93_seg1,v3_93,2
v3_93_seg2,v3_93,2
v3_94_seg1,v3_94,4
v3_94_seg2,v3_94,4
v3_94_seg3,v3_94,4
v3_95_seg1,v3_95,1
v3_95_seg2,v3_95,1
v3_95_seg3,v3_95,1
v3_96_seg1,v3_96,0
v3_96_seg2,v3_96,0
v3_97_seg1,v3_97,2
v3_97_seg2,v3_97,2
v3_98_seg1,v3_98,0
v3_98_seg2,v3_98,0
v3_98_seg3,v3_98,0
v3_99_seg1,v3_99,4
v3_99_seg2,v3_99,4
