item,value,definition_or_scope,source
Independent machining groups,212,Outer splitting and Bootstrap resampling unit,Phase A run manifest
Surface regions,586,Prediction unit; regions remain nested in machining groups,Phase A run manifest
Ra readings per region,3,Repeated readings share one region-level mean and uncertainty model,Locked SGRPN protocol
Vibration channels,"3 (Ch9, Ch10, Ch11)",Ch11 is axial; Ch9/Ch10 orientation is unresolved and symmetrized,Locked SGRPN protocol
Vibration sampling rate,25.6 kHz,"Each retained model window contains 25,600 samples (1 s)",Locked SGRPN protocol
Spindle-speed grid,"10 levels (4000, 4500, 5000, 5500, 6000, 6500, 7000, 7500, 8000, 8500 rpm)",Observed levels in the frozen Phase A breakdown,error_by_n_rpm.csv
Feed-per-tooth grid,"5 levels (0.03, 0.06, 0.09, 0.12, 0.15 mm/tooth)",Observed levels in the frozen Phase A breakdown,error_by_fz_mm_per_tooth.csv
Axial-depth grid,"4 levels (0.5, 1.0, 1.5, 2.0 mm)",Observed levels in the frozen Phase A breakdown,error_by_ap_mm.csv
Observed process combinations,189 / 200,Observed combinations relative to the full 10×5×4 grid,Locked SGRPN data specification
Acquisition versions,"2 (v3, v4)",Composite-domain stress test; version is excluded from model inputs,error_by_version.csv
Outer cross-validation,5 group-disjoint folds,Recorded group overlap count: 0,Phase A run manifest
Registered random seeds,1 in Phase A; 3 in Phase B,Phase A feasibility followed by frozen three-seed replication,Phase A/Phase B protocols
